,USD_ROI,BAT_ROI,BTC_ROI,TRADE_ROI
2021-10-25,706.9499000000001,701.724,984.1032240000001,599.6263509034526
2021-10-26,706.9499000000001,711.072,941.2668720000001,607.6142594376419
2021-10-27,706.9499000000001,639.707,911.905332,546.632542220866
2021-10-28,706.9499000000001,693.6790000000001,945.2297400000001,592.7518617980232
2021-10-29,706.9499000000001,853.367,971.5168320000001,729.205984391907
2021-10-30,706.9499000000001,1242.993,965.5215960000002,729.205984391907
2021-10-31,706.9499000000001,990.82,956.9614080000001,729.205984391907
2021-11-01,809.2878000000001,1125.7169000000001,1054.427042,828.287984391907
2021-11-02,809.2878000000001,1135.0658,1094.510623,828.287984391907
2021-11-03,809.2878000000001,1065.6173000000001,1088.7825930000001,828.287984391907
2021-11-04,809.2878000000001,1072.9719,1062.98985,834.0046021776811
2021-11-05,809.2878000000001,1067.8437000000001,1055.406395,830.0185309666015
2021-11-06,809.2878000000001,1115.9962,1064.6300629999998,867.4467307231475
2021-11-07,809.2878000000001,1098.5722,1095.2479489999998,867.4467307231475
2021-11-08,809.2878000000001,1396.549,1168.6987319999998,1102.7330423477683
2021-11-09,809.2878000000001,1284.0883000000001,1158.142618,1102.7330423477683
2021-11-10,809.2878000000001,1191.641,1122.9810599999998,1102.7330423477683
2021-11-11,809.2878000000001,1236.7762,1121.1713069999998,1144.500719368763
2021-11-12,809.2878000000001,1287.8415,1109.75867,1144.500719368763
2021-11-13,809.2878000000001,1259.5077,1114.120173,1144.500719368763
2021-11-14,809.2878000000001,1263.6041,1133.236846,1144.500719368763
2021-11-15,809.2878000000001,1257.9941000000001,1100.705407,1139.4195004682713
2021-11-16,809.2878000000001,1172.2359,1039.868054,1139.4195004682713
2021-11-17,809.2878000000001,1172.8618000000001,1044.081123,1140.0278785817065
2021-11-18,809.2878000000001,1076.4280999999999,984.3353999999999,1046.293811673922
2021-11-19,809.2878000000001,1235.7367,1005.513368,1201.1426142334576
2021-11-20,809.2878000000001,1220.0881,1033.861148,1201.1426142334576
2021-11-21,809.2878000000001,1181.9423,1015.011933,1201.1426142334576
2021-11-22,809.2878000000001,1140.8902999999998,973.658013,1159.4237362480333
2021-11-23,809.2878000000001,1167.4267,995.9065049999999,1186.3912124677647
2021-11-24,809.2878000000001,1136.1603,988.914018,1186.3912124677647
2021-11-25,809.2878000000001,1306.3038999999999,1020.4797709999999,1186.3912124677647
2021-11-26,809.2878000000001,1461.7459999999999,930.0076909999999,1186.3912124677647
2021-11-27,809.2878000000001,1942.93,947.3315650000001,1186.3912124677647
2021-11-28,809.2878000000001,1824.2015000000001,991.5870409999999,1186.3912124677647
2021-11-29,809.2878000000001,1781.4401,1000.5984379999999,1158.5808257353674
2021-11-30,809.2878000000001,1605.6458,985.891881,1044.2509050978051
2021-12-01,958.2831000000001,1787.9436,1138.80735,1214.9048833486497
2021-12-02,958.2831000000001,1711.32,1124.7770540000001,1214.9048833486497
2021-12-03,958.2831000000001,1539.9912,1067.3969960000002,1093.2746822300605
2021-12-04,958.2831000000001,1350.9312000000002,979.8982880000001,959.0567000608019
2021-12-05,958.2831000000001,1401.7068,984.735978,995.1034501688807
2021-12-06,958.2831000000001,1642.1964,1005.538244,1165.8324718799363
2021-12-07,958.2831000000001,1599.282,1007.4470520000001,1135.3665659558676
2021-12-08,958.2831000000001,1561.3272000000002,1005.341632,1108.421592563094
2021-12-09,958.2831000000001,1368.6324000000002,946.611757,1108.421592563094
2021-12-10,958.2831000000001,1282.386,938.7017060000001,1038.5727624164208
2021-12-11,958.2831000000001,1376.4912,983.214225,1114.7862406684835
2021-12-12,958.2831000000001,1443.2052,996.7838360000001,1168.8162622624882
2021-12-13,958.2831000000001,1233.6011999999998,929.8850110000001,999.0631572741838
2021-12-14,958.2831000000001,1237.4712,962.5118570000001,1002.1973747333199
2021-12-15,958.2831000000001,1342.7399999999998,972.807122,1087.451977023318
2021-12-16,958.2831000000001,1356.8832,947.9209780000001,1098.9062055421946
2021-12-17,958.2831000000001,1379.3304,918.71335,1098.9062055421946
2021-12-18,958.2831000000001,1412.964,932.5032540000001,1125.7019404543837
2021-12-19,958.2831000000001,1360.9127999999998,929.0750810000001,1084.232988065661
2021-12-20,958.2831000000001,1328.3676,933.828793,1084.232988065661
2021-12-21,958.2831000000001,1399.77,973.40253,1142.5126672049742
2021-12-22,958.2831000000001,1426.128,967.3115380000002,1164.0264508138446
2021-12-23,958.2831000000001,1606.5636,1011.75978,1311.300616294409
2021-12-24,958.2831000000001,1578.1391999999998,1011.942462,1288.1002069002222
2021-12-25,958.2831000000001,1606.5684,1003.523369,1311.3045341243403
2021-12-26,958.2831000000001,1604.0364,1010.9556210000001,1311.3045341243403
2021-12-27,958.2831000000001,1655.7648,1009.283623,1353.5926551813172
2021-12-28,958.2831000000001,1466.7432,946.107491,1353.5926551813172
2021-12-29,958.2831000000001,1381.5408,924.777676,1353.5926551813172
2021-12-30,958.2831000000001,1433.6904,937.7293920000001,1404.6872848373096
2021-12-31,958.2831000000001,1450.6727999999998,919.603676,1421.3261361165125
2022-01-01,1083.8087,1631.8328,1074.002175,1601.3606693419515
2022-01-02,1083.8087,1689.2798,1064.229075,1601.3606693419515
2022-01-03,1083.8087,1685.2472,1045.3401,1601.3606693419515
2022-01-04,1083.8087,1671.6206,1030.828725,1601.3606693419515
2022-01-05,1083.8087,1537.2604,977.3109,1601.3606693419515
2022-01-06,1083.8087,1536.8327000000002,969.3846,1601.3606693419515
2022-01-07,1083.8087,1397.1503000000002,935.21655,1601.3606693419515
2022-01-08,1083.8087,1330.5617,937.9088999999999,1525.0393422330903
2022-01-09,1083.8087,1344.0739,942.2216999999999,1540.5265132527597
2022-01-10,1083.8087,1296.9528,941.041575,1486.5180960938262
2022-01-11,1083.8087,1372.9976,961.9524,1573.6777608972297
2022-01-12,1083.8087,1450.0473,988.2083250000001,1661.9892039571473
2022-01-13,1083.8087,1348.4107000000001,958.087125,1545.4971888850107
2022-01-14,1083.8087,1373.8738,969.5412,1545.4971888850107
2022-01-15,1083.8087,1384.1308,969.7094999999999,1557.0354864101498
